"OldName","NewName","Title","Type"
"Определение Верховного Суда РФ от 03_07_2026 N 310-ЭС26-4320.xml","opredelenie-verkhovnogo-suda-rf-ot-03-07-2026-n-310-es26-4320-po-delu-n-a48-2335-2025-trebovanie-o-peresmotre-v-kassatsionnom-poryadke--d3b817a9.xml","Определение Верховного Суда РФ от 03.07.2026 N 310-ЭС26-4320 по делу N А48-2335/2025 Требование: О пересмотре в кассационном порядке судебных актов по делу о признании недействительным решения контрольного органа об отказе в согласовании заключения контракта с единственным поставщиком. Обжалуемый результат спора: Требование удовлетворено. Решение: Дело передано в Судебную коллегию по экономическим спорам ВС РФ, поскольку довод о том, что неприменение дополнительных требований, установленных Постановлением П","court-or-authority-decision"
"Определение Седьмого кассационного суда общей юрисдикции от.xml","opredelenie-sedmogo-kassatsionnogo-suda-obshchei-yurisdiktsii-ot-10-06-2026-n-88-8444-2026-uid-66rs0044-01-2023-005497-11-kategoriya-sp--12ad6325.xml","Определение Седьмого кассационного суда общей юрисдикции от 10.06.2026 N 88-8444/2026 (УИД 66RS0044-01-2023-005497-11) Категория спора: Подряд. Требования заказчика: О взыскании штрафа. Обстоятельства: Истец указал на ненадлежащее исполнение ответчиком обязательств по государственному контракту. Решение: Отказано.","court-or-authority-decision"
"Письмо  Минстроя России от 07_05_2026 N 27735-АЛ 02  Об уст.xml","pismo-minstroya-rossii-ot-07-05-2026-n-27735-al-02-ob-ustanovlenii-trebovanii-o-chlenstve-v-samoreguliruemoi-organizatsii--06cf65ce.xml","<Письмо> Минстроя России от 07.05.2026 N 27735-АЛ/02 <Об установлении требований о членстве в саморегулируемой организации>","letter"
"Письмо  Минстроя России от 13_03_2026 N 13623-АВ 09  О пере.xml","pismo-minstroya-rossii-ot-13-03-2026-n-13623-av-09-o-perechne-dokumentov-aktov-o-priemke-rezultata-vypolnennykh-rabot-po-dogovoru-stroi--866d2575.xml","<Письмо> Минстроя России от 13.03.2026 N 13623-АВ/09 <О перечне документов (актов) о приемке результата выполненных работ по договору строительного подряда (контракту)>","letter"
"Постановление Арбитражного суда Волго-Вятского округа от 06_.xml","postanovlenie-arbitrazhnogo-suda-volgo-vyatskogo-okruga-ot-06-07-2026-n-f01-7581-2026-po-delu-n-a39-5259-2025-trebovanie-o-priznanii-ne--c6b081b3.xml","Постановление Арбитражного суда Волго-Вятского округа от 06.07.2026 N Ф01-7581/2026 по делу N А39-5259/2025 Требование: О признании недействительными решения и предписания антимонопольного органа. Обстоятельства: Антимонопольный орган решением признал жалобу общества на действия заказчика, осуществленные при проведении запроса котировок на закупку медицинских изделий (в части описания объекта закупки), обоснованной, а заказчика - нарушившим ч. 2 ст. 8, п. 1 ч. 1 ст. 33 и п. 1 ч. 2 ст. 42 ФЗ от 05.04.2013 N","resolution"
"Постановление Арбитражного суда Восточно-Сибирского округа о.xml","postanovlenie-arbitrazhnogo-suda-vostochno-sibirskogo-okruga-ot-29-06-2026-n-f02-1611-2026-po-delu-n-a33-10080-2023-trebovanie-o-prizna--01819602.xml","Постановление Арбитражного суда Восточно-Сибирского округа от 29.06.2026 N Ф02-1611/2026 по делу N А33-10080/2023 Требование: О признании недействительными электронного аукциона, муниципального контракта, применении последствий недействительности ничтожной сделки путем взыскания в доход муниципального образования денежных средств. Обстоятельства: В период исполнения контракта сторонами внесены изменения в части указания места вывоза отходов. Решение: Требование удовлетворено, поскольку в результате заключен","resolution"
"Постановление Арбитражного суда Дальневосточного округа от 0.xml","postanovlenie-arbitrazhnogo-suda-dalnevostochnogo-okruga-ot-03-07-2026-n-f03-913-2026-po-delu-n-a73-13075-2025-trebovanie-o-vzyskanii-d--d9e2d6ac.xml","Постановление Арбитражного суда Дальневосточного округа от 03.07.2026 N Ф03-913/2026 по делу N А73-13075/2025 Требование: О взыскании долга за оказанные услуги связи по государственному контракту. Обстоятельства: Заказчиком не оплачены оказанные исполнителем услуги по предоставлению доступа к сети Интернет, претензия с требованием оплатить долг не удовлетворена. Решение: Требование удовлетворено, поскольку факт предоставления услуг связи доказан при отсутствии доказательств их оплаты.","resolution"
"Постановление Первого арбитражного апелляционного суда от 02.xml","postanovlenie-pervogo-arbitrazhnogo-apellyatsionnogo-suda-ot-02-07-2026-n-01ap-3115-2026-po-delu-n-a43-35691-2025-trebovanie-o-priznani--9cbeb8ca.xml","Постановление Первого арбитражного апелляционного суда от 02.07.2026 N 01АП-3115/2026 по делу N А43-35691/2025 Требование: О признании недействительным решения антимонопольного органа о включении сведений об обществе в реестр недобросовестных поставщиков. Решение: В удовлетворении требования отказано.","resolution"
"Постановление Пленума Верховного Суда РФ от 24_03_2016 N 7 (.xml","postanovlenie-plenuma-verkhovnogo-suda-rf-ot-24-03-2016-n-7-red-ot-22-06-2021-o-primenenii-sudami-nekotorykh-polozhenii-grazhdanskogo-k--15845971.xml","Постановление Пленума Верховного Суда РФ от 24.03.2016 N 7 (ред. от 22.06.2021) ""О применении судами некоторых положений Гражданского кодекса Российской Федерации об ответственности за нарушение обязательств","resolution"
"Постановление Правительства Москвы от 25_12_2015 N 954-ПП (р.xml","postanovlenie-pravitelstva-moskvy-ot-25-12-2015-n-954-pp-red-ot-24-02-2026-ob-opredelenii-trebovanii-k-zakupaemym-organami-ispolnitelno--1de99445.xml","Постановление Правительства Москвы от 25.12.2015 N 954-ПП (ред. от 24.02.2026) ""Об определении требований к закупаемым органами исполнительной власти города Москвы, иными государственными органами города Москвы и подведомственными им государственными бюджетными и казенными учреждениями города Москвы, государственными унитарными предприятиями города Москвы отдельным видам товаров, работ, услуг (в том числе предельных цен товаров, работ, услуг)"" (вместе с ""Правилами определения требований к закупаемым органам","resolution"
"Постановление Правительства РФ от 02_09_2015 N 926 (ред_ от.xml","postanovlenie-pravitelstva-rf-ot-02-09-2015-n-926-red-ot-12-06-2025-ob-utverzhdenii-obshchikh-pravil-opredeleniya-trebovanii-k-zakupaem--e6c4a931.xml","Постановление Правительства РФ от 02.09.2015 N 926 (ред. от 12.06.2025) ""Об утверждении Общих правил определения требований к закупаемым заказчиками отдельным видам товаров, работ, услуг (в том числе предельных цен товаров, работ, услуг)","resolution"
